time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.169928,-2.661077654608877,4.663101199008937,8.61054093674799,-0.2596945465,-0.4945313334,0.021435339,0
0.179928,-2.63099331794502,4.616355225008864,8.645193746042331,-0.29086627381799623,-0.5507334499222588,0.03746537334916843,0
0.189928,-2.6048321874057767,4.491863261001892,8.681713052920518,-0.3220496366728685,-0.6152480310990238,0.045242147994525896,0
0.19992800000000002,-2.5803413828727217,4.433304886558311,8.710301266232845,-0.33374353628043824,-0.6803304613658268,0.05602177043859664,0
0.20992800000000003,-2.555787752046813,4.478971140759961,8.700886940643427,-0.3341743957491212,-0.7126268142046471,0.07674857414682759,0
0.21992800000000004,-2.579429183257671,4.451491229771721,8.703828668605501,-0.3307502928886056,-0.7338858458721914,0.09192673924341042,0
0.22992800000000005,-2.624049863596116,4.409766362968825,8.792484151933168,-0.34263377417331947,-0.7940219287436215,0.10946543223633413,0
0.23992800000000006,-2.6625926815946217,4.446887585314841,8.911336176294522,-0.37995104388540857,-0.8759890087679287,0.12285031804612556,0
0.24992800000000007,-2.598401640775696,4.5111233090355585,9.04716322931315,-0.4814405015512858,-1.0125036566314156,0.16381936119837687,0
0.25992800000000005,-2.430018873948012,4.5802668905082164,9.174339222286825,-0.6300228207999415,-1.1944171655512874,0.21822856399999047,0
0.26992800000000006,-2.310576993046414,4.558684708464342,9.158918174612948,-0.7987222193874907,-1.3708780281258972,0.26158468003912366,0
0.27992800000000007,-2.1659502625067013,4.396589952001786,8.974208902966636,-0.9504868030986666,-1.4693503160944137,0.30513223724104205,0
0.2899280000000001,-1.9661380135758952,4.201194661046513,8.644570748482566,-1.0346683576923814,-1.4789795939088648,0.3407667441769426,0
0.2999280000000001,-1.722007681950994,4.0147207869288835,8.248848845833363,-1.0192565748535856,-1.3892023118122498,0.3156827252401889,0
0.3099280000000001,-1.3580967225310183,3.7318033733670912,7.925397733168308,-0.9143871828207661,-1.204376142263445,0.20755780516747926,0
0.3199280000000001,-0.9984929757156344,3.4076085327671284,7.722102452625497,-0.7979520586889773,-0.9859803599858488,0.15152577660863825,0
0.3299280000000001,-0.7336402835953365,3.2422621635705173,7.750848799829085,-0.7269414697690034,-0.8271658757204766,0.12227221226645392,0
0.3399280000000001,-0.4937292275756403,3.304439151931885,7.996821105808662,-0.7221394792125784,-0.7493394123905578,0.10306728741750795,0
0.34992800000000013,-0.18849276331257533,3.4375436972246027,8.346940430763949,-0.7983575520161865,-0.7921699915949112,0.11479938205449225,0
0.35992800000000014,0.16873405746001421,3.39591209606782,8.59346329379315,-0.9163018784544635,-0.862299942244214,0.1501470901854088,0
0.36992800000000015,0.655041867290625,3.186799599566929,8.445369516812146,-1.0181487645082528,-0.8100157519104053,0.1822087161785924,0
0.37992800000000015,1.233152945896362,3.055373677937848,7.956915153008358,-0.9976167954254976,-0.7341465197610348,0.1622914828465335,0
0.38992800000000016,1.7336260943583626,2.9345296515492967,7.408396260591592,-0.9393337446058748,-0.4996197858694806,0.19009208957662643,0
0.39992800000000017,2.040355768629684,2.617174380827981,7.0644197571484035,-0.8030408225093099,-0.1370497952368641,0.4337480961578938,0
