"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.045475625E0,-3.107633352E0,1.498373449E-1,3.800185025E-1
1.055515625E0,-3.465420008E0,1.483861059E-1,7.027388215E-1
1.065555625E0,-3.822905779E0,1.843051240E-2,1.095078111E0
1.075595625E0,-4.052358627E0,-5.835950971E-1,1.830973625E0
1.085636625E0,-3.809922934E0,-1.086569786E0,2.754074812E0
1.095676625E0,-2.772636175E0,-1.128543377E0,3.662119150E0
1.105747625E0,-1.046682239E0,-1.010378957E0,4.297844887E0
1.115787625E0,6.480083466E-1,-1.068189740E0,4.817868710E0
1.125827625E0,2.088018417E0,-1.426823020E0,5.118254185E0
1.135868625E0,3.147759199E0,-2.095408916E0,5.154215813E0
1.145908625E0,3.943495035E0,-3.335617065E0,5.027104855E0
1.155979625E0,4.475995541E0,-4.302769661E0,4.868805885E0
1.166019625E0,4.834999084E0,-5.123445511E0,4.732311249E0
1.176059625E0,5.121580601E0,-5.626975536E0,4.711454391E0
1.186100625E0,4.196379662E0,-8.094681740E0,4.535391808E0
1.196140625E0,2.646756649E0,-1.050651455E1,4.372462749E0
1.206180625E0,1.181284904E0,-1.135682392E1,4.193796158E0
1.216251625E0,6.939793825E-1,-9.206726074E0,3.488954067E0
1.226291625E0,1.365708709E0,-4.202640057E0,2.421429634E0
1.236331625E0,1.768756747E0,-8.580821753E-1,1.775352478E0
1.246372625E0,2.020658731E0,7.598358989E-1,1.502275586E0
1.256412625E0,2.345240831E0,1.773193121E0,1.554523230E0
1.266483625E0,2.965003252E0,2.908979177E0,2.420013666E0
1.276523625E0,3.247987270E0,3.197273016E0,3.920555592E0
1.286563625E0,3.130355358E0,2.057166576E0,5.190868855E0
1.296604625E0,2.761631250E0,-2.569960952E-1,5.298307896E0
1.306644625E0,2.450668573E0,-2.171757936E0,4.376982689E0
1.316684625E0,1.941869855E0,-2.861399889E0,3.526287079E0
1.326755625E0,1.301188111E0,-2.223807812E0,2.972392797E0
1.336795625E0,7.754812241E-1,-5.422523618E-1,1.974129558E0
1.346836625E0,1.979675740E-1,1.113320827E0,4.554843307E-1
1.356876625E0,-3.109658062E-1,2.108556032E0,-1.061568856E0
1.366916625E0,-6.587807536E-1,2.141952515E0,-1.859736323E0
1.376987625E0,-8.642930984E-1,1.545788288E0,-1.920332789E0
1.387027625E0,-1.029246807E0,5.901929140E-1,-1.447233438E0
1.397068625E0,-1.131507397E0,-4.796864986E-1,-8.269014955E-1
1.407108625E0,-1.185892105E0,-1.374775529E0,-3.298965096E-1
1.417148625E0,-1.247247934E0,-1.881260514E0,-6.273668259E-2
1.427188625E0,-1.321695328E0,-1.931932211E0,2.841263311E-3
1.437241792E0,-1.399868965E0,-1.522596240E0,-7.280732691E-2
1.447281792E0,-1.457199693E0,-7.467959523E-1,-2.444539070E-1
1.457322792E0,-1.463420510E0,1.949393451E-1,-4.238649309E-1
1.467362792E0,-1.399868250E0,9.434252977E-1,-5.659903884E-1
1.477402792E0,-1.243557811E0,1.329924583E0,-6.223574281E-1
1.487473792E0,-9.800546765E-1,1.436611056E0,-4.579607844E-1
1.497513792E0,-6.267707348E-1,1.367687106E0,-1.605286747E-1
1.507554792E0,-2.040700614E-1,1.082639694E0,4.787965491E-2
1.517594792E0,2.126502991E-1,5.802190900E-1,-1.623522490E-2
1.527634792E0,5.337380767E-1,7.960211635E-1,-2.676181793E-1
1.537675792E0,5.923361182E-1,1.222777724E0,-3.881208897E-1
1.547745792E0,6.279881001E-1,1.031864047E0,-3.932011425E-1
1.557786792E0,7.661111355E-1,5.517613888E-1,-3.677800298E-1
1.567826792E0,9.459919333E-1,7.975608110E-2,-2.892207503E-1
1.577866792E0,1.079879045E0,-1.744458824E-1,-2.522049248E-1
1.587906792E0,1.125433207E0,-2.256094813E-1,-2.573552132E-1
1.597977792E0,1.099415541E0,-1.122772694E-1,-2.816997170E-1
1.608018792E0,9.643544555E-1,1.156544238E-1,-3.039413989E-1
1.618058792E0,7.550878525E-1,3.477274776E-1,-3.054560721E-1
1.628098792E0,5.519722700E-1,5.300770402E-1,-2.994130850E-1
1.638138792E0,3.695246875E-1,6.028612852E-1,-2.995379269E-1
1.648179792E0,1.992317736E-1,6.567679048E-1,-2.747484148E-1
1.658250792E0,3.211513162E-2,6.521762609E-1,-2.444127202E-1
1.668290792E0,-1.456958801E-1,6.240919232E-1,-2.401449978E-1
1.678330792E0,-3.348933160E-1,5.669493079E-1,-2.552660406E-1
1.688370792E0,-5.008641481E-1,5.082319379E-1,-2.624664307E-1
1.698411792E0,-6.073598266E-1,5.077379942E-1,-2.460247725E-1
1.708481792E0,-6.244802475E-1,5.482694507E-1,-2.076667398E-1
1.718522792E0,-5.224881768E-1,6.479463577E-1,-1.647008359E-1
1.728562792E0,-3.050421178E-1,8.317888975E-1,-1.143476591E-1
1.738602792E0,-1.408804767E-2,1.043914795E0,-4.654437676E-2
1.748643792E0,2.927547097E-1,1.227309704E0,3.868077323E-2
1.758683792E0,5.720931888E-1,1.295873284E0,1.268060803E-1
1.768754792E0,7.792037725E-1,1.280177116E0,2.131209970E-1
1.778794792E0,8.943210244E-1,1.230549574E0,2.778549194E-1
1.788834792E0,9.502450228E-1,1.161390185E0,3.451330066E-1
1.798875792E0,9.402624965E-1,1.097221017E0,4.106546342E-1
1.808915792E0,9.049732089E-1,1.024099946E0,4.215405583E-1
1.818955792E0,8.660689592E-1,8.910956383E-1,3.646413386E-1
1.829026792E0,8.193294406E-1,6.953551769E-1,2.655688226E-1
1.839066792E0,7.652409673E-1,4.605370164E-1,1.667756885E-1
1.849106792E0,6.790501475E-1,2.640537620E-1,8.741987497E-2
1.859147792E0,5.934296846E-1,1.156699359E-1,-8.316800930E-3
1.869187792E0,5.227334499E-1,5.562789738E-2,-1.235555112E-1
1.879258792E0,4.905268252E-1,1.047001630E-1,-2.236250043E-1
1.889298792E0,4.783716202E-1,2.317366749E-1,-2.793071866E-1
1.899338792E0,4.838953614E-1,3.932337165E-1,-2.774874866E-1
1.909379792E0,5.159885883E-1,5.511621237E-1,-2.328534275E-1
1.919419792E0,5.800015926E-1,6.927049160E-1,-1.701019257E-1
1.929459792E0,6.638501883E-1,7.760176063E-1,-1.092827842E-1
1.939530792E0,7.367315292E-1,7.998593450E-1,-5.925995111E-2
1.949570792E0,7.753356695E-1,7.896050811E-1,-2.371314354E-2
1.959611792E0,7.525914907E-1,7.276338339E-1,-8.361863904E-3
